Pet peeve,Percentage of respondents
Finding a dog sitter when I travel,37.34%
Finding dog-friendly hotels,23.61%
Walking/exercising my dog,23.29%
The cost of owning my dog,22.86%
Excessive barking,19.75%
Excessive shedding,17.48%
Picking up my dog's waste,15.14%
Taking my dog to the veterinarian,12.60%
When my dog dirties the house/furniture,11.24%
When my dog jumps on me or others,10.37%
